"","Label","Pyr","Flux","Time","Condition"
"1","S1P1","C1",-0.00617,-0.62821,"Pre-Drought"
"2","S1P3","C1",0.00318,-0.6523,"Pre-Drought"
"3","S1P5","C1",0.01821,-1.58571,"Pre-Drought"
"4","S2P1","C1",0.01435,-0.64587,"Pre-Drought"
"5","S2P3","C1",0.01085,-0.60287,"Pre-Drought"
"6","S2P7","C1",0.00296,-0.60692,"Pre-Drought"
"7","S3P1","C1",0.00517,-0.6767,"Pre-Drought"
"8","S3P3","C1",0.00764,-0.65035,"Pre-Drought"
"9","S3P5","C1",0.00928,-0.63999,"Pre-Drought"
"10","S1P2","C2",-0.0119,-1.58551,"Pre-Drought"
"11","S1P4","C2",0.00426,-0.59956,"Pre-Drought"
"12","S1P6","C2",-0.00929,-0.62365,"Pre-Drought"
"13","S2P8","C2",0.00715,-0.57134,"Pre-Drought"
"14","S2P4","C2",0.00679,-0.61718,"Pre-Drought"
"15","S2P6","C2",-0.00938,-0.58602,"Pre-Drought"
"16","S3P2","C2",-0.0048,-0.6113,"Pre-Drought"
"17","S3P4","C2",-0.00963,-0.59302,"Pre-Drought"
"18","S3P6","C2",0.00254,-0.62163,"Pre-Drought"
"19","S1P1","C1",0.01114,-0.55352,"Pre-Drought"
"20","S1P3","C1",0.00132,-0.56583,"Pre-Drought"
"21","S1P5","C1",0.0116,-1.57144,"Pre-Drought"
"22","S2P1","C1",0.01312,-0.57106,"Pre-Drought"
"23","S2P3","C1",-0.00231,-0.52815,"Pre-Drought"
"24","S2P7","C1",-0.01406,-0.53223,"Pre-Drought"
"25","S3P1","C1",0.00935,-0.62172,"Pre-Drought"
"26","S3P3","C1",0.015,-0.5755,"Pre-Drought"
"27","S3P5","C1",0.00148,-0.56525,"Pre-Drought"
"28","S1P2","C2",-0.03806,-1.57124,"Pre-Drought"
"29","S1P4","C2",-0.01027,-0.52488,"Pre-Drought"
"30","S1P6","C2",-0.00573,-0.53718,"Pre-Drought"
"31","S2P8","C2",-0.00466,-0.49657,"Pre-Drought"
"32","S2P4","C2",0.00246,-0.54231,"Pre-Drought"
"33","S2P6","C2",0.01539,-0.51125,"Pre-Drought"
"34","S3P2","C2",-0.00478,-0.5366,"Pre-Drought"
"35","S3P4","C2",0.00237,-0.51817,"Pre-Drought"
"36","S3P6","C2",0.01341,-0.54682,"Pre-Drought"
"37","S1P1","C1",-0.00162,-0.47876,"Pre-Drought"
"38","S1P3","C1",0.00226,-0.47899,"Pre-Drought"
"39","S1P5","C1",-0.00444,-1.55719,"Pre-Drought"
"40","S2P1","C1",0.00486,-0.49623,"Pre-Drought"
"41","S2P3","C1",0.00485,-0.45328,"Pre-Drought"
"42","S2P7","C1",-0.01214,-0.45738,"Pre-Drought"
"43","S3P1","C1",0.00447,-0.54685,"Pre-Drought"
"44","S3P3","C1",-0.000558,-0.50073,"Pre-Drought"
"45","S3P5","C1",0.000258,-0.49064,"Pre-Drought"
"46","S1P2","C2",3.93e-05,-1.55703,"Pre-Drought"
"47","S1P4","C2",0.00254,-0.45006,"Pre-Drought"
"48","S1P6","C2",-0.00522,-0.45031,"Pre-Drought"
"49","S2P8","C2",0.011,-0.42174,"Pre-Drought"
"50","S2P4","C2",0.01214,-0.46752,"Pre-Drought"
"51","S2P6","C2",-0.00594,-0.43634,"Pre-Drought"
"52","S3P2","C2",0.00015,-0.46197,"Pre-Drought"
"53","S3P4","C2",-0.01335,-0.44331,"Pre-Drought"
"54","S3P6","C2",0.000828,-0.47203,"Pre-Drought"
"55","S1P1","C1",-0.00693,-0.40397,"Pre-Drought"
"56","S1P3","C1",0.00667,-0.39222,"Pre-Drought"
"57","S1P5","C1",-0.00265,-1.54294,"Pre-Drought"
"58","S2P1","C1",0.01817,-0.42139,"Pre-Drought"
"59","S2P3","C1",-0.00495,-0.37838,"Pre-Drought"
"60","S2P7","C1",-0.00335,-0.38259,"Pre-Drought"
"61","S3P1","C1",-0.0162,-0.47201,"Pre-Drought"
"62","S3P3","C1",-0.0028,-0.42591,"Pre-Drought"
"63","S3P5","C1",-0.00891,-0.41598,"Pre-Drought"
"64","S1P2","C2",-0.01354,-1.54275,"Pre-Drought"
"65","S1P4","C2",-0.00188,-0.37525,"Pre-Drought"
"66","S1P6","C2",-0.0163,-0.36352,"Pre-Drought"
"67","S2P8","C2",0.00559,-0.347,"Pre-Drought"
"68","S2P4","C2",0.00391,-0.39267,"Pre-Drought"
"69","S2P6","C2",-0.02135,-0.3615,"Pre-Drought"
"70","S3P2","C2",-0.01879,-0.38734,"Pre-Drought"
"71","S3P4","C2",0.00424,-0.36851,"Pre-Drought"
"72","S3P6","C2",0.00491,-0.39722,"Pre-Drought"
"73","S1P1","C1",-0.00125,-0.32916,"Pre-Drought"
"74","S1P3","C1",-0.00501,-0.30537,"Pre-Drought"
"75","S1P5","C1",0.00234,-1.52872,"Pre-Drought"
